#    r:        g(r):       error:
     2.29564     1.06735  0.00285971
     2.32129      1.0369  0.00275233
     2.34694     1.01254  0.00229036
     2.37259     0.98461  0.00504339
     2.39824    0.967297  0.00345721
     2.42389    0.945623  0.00443621
     2.44954    0.930989  0.00340623
     2.47519    0.919827  0.00451062
     2.50084     0.90812  0.00439224
     2.52649    0.897623  0.00378352
     2.55214    0.888167  0.00300605
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 3.24205e-05 2.95957e-05
    0.910562  0.00155899 0.000434459
    0.936212   0.0252907 0.000632194
    0.961861    0.163248  0.00219342
    0.987511    0.571543  0.00462478
     1.01316     1.20599  0.00774274
     1.03881     1.87265   0.0134821
     1.06446     2.34415  0.00996748
     1.09011     2.55596  0.00768344
     1.11576     2.54652  0.00655967
     1.14141     2.41216  0.00751317
     1.16706     2.19758  0.00982578
     1.19271     1.96312  0.00906908
     1.21836     1.74906  0.00745012
     1.24401     1.55817  0.00746445
     1.26966     1.38696  0.00197366
     1.29531      1.2394  0.00443036
     1.32096     1.11474  0.00330198
     1.34661     1.01783  0.00610768
     1.37226     0.93801  0.00417054
     1.39791    0.870628  0.00255258
     1.42355    0.812922  0.00448408
      1.4492    0.770155  0.00439607
     1.47485    0.734335  0.00467873
      1.5005    0.704129  0.00421073
     1.52615    0.694957  0.00445945
      1.5518    0.682965  0.00384449
     1.57745    0.675496   0.0035476
      1.6031    0.675709   0.0040588
     1.62875    0.682419  0.00332268
      1.6544    0.700086  0.00314382
     1.68005    0.706211  0.00479891
      1.7057    0.731818  0.00226898
     1.73135    0.756002  0.00286487
       1.757    0.784347  0.00487029
     1.78265    0.816151  0.00286616
      1.8083    0.852295  0.00331338
     1.83395    0.887129  0.00566119
      1.8596    0.931353  0.00637724
     1.88525     0.96987  0.00559778
      1.9109     1.01264  0.00536631
     1.93655      1.0562  0.00408829
      1.9622     1.09533  0.00480981
     1.98785     1.13221  0.00385983
      2.0135     1.15783  0.00351819
     2.03915     1.18909  0.00342048
      2.0648      1.2037  0.00498473
     2.09045     1.21839  0.00557006
      2.1161      1.2178  0.00445002
     2.14174     1.21105   0.0054965
     2.16739      1.1941    0.004242
     2.19304     1.17201  0.00339306
     2.21869     1.15513  0.00503208
     2.24434     1.12649  0.00340184
     2.26999     1.09439  0.00273935
     2.29564     1.06563  0.00285493
     2.32129     1.03732  0.00232601
     2.34694     1.01365  0.00215761
     2.37259    0.985217  0.00423921
     2.39824    0.965323  0.00339797
     2.42389    0.944124  0.00394217
     2.44954    0.928932  0.00340373
     2.47519    0.918107   0.0040733
     2.50084    0.905942   0.0041655
     2.52649    0.894472  0.00426831
     2.55214    0.886247   0.0030574
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  2.7789e-05 2.57276e-05
    0.910562  0.00154589 0.000372591
    0.936212   0.0253649 0.000546222
    0.961861    0.163921  0.00198063
    0.987511    0.567459  0.00547836
     1.01316     1.20325  0.00710219
     1.03881     1.87062   0.0117072
     1.06446     2.34318   0.0085909
     1.09011     2.55715  0.00667788
     1.11576     2.54909  0.00610678
     1.14141     2.41166  0.00645602
     1.16706     2.19782    0.008425
     1.19271     1.96714  0.00861741
     1.21836     1.75053  0.00652969
     1.24401     1.55739  0.00643835
     1.26966     1.38773  0.00183741
     1.29531     1.23875  0.00384579
     1.32096     1.11393  0.00292871
     1.34661     1.01637  0.00540641
     1.37226    0.936057  0.00400594
     1.39791    0.870136   0.0022347
     1.42355    0.814522  0.00411891
      1.4492    0.770252  0.00376915
     1.47485    0.738197  0.00537302
      1.5005    0.705449   0.0038102
     1.52615    0.694829  0.00382421
      1.5518     0.68381   0.0033867
     1.57745    0.675643  0.00304381
      1.6031    0.675738  0.00347907
     1.62875    0.683103  0.00291756
      1.6544    0.699007   0.0028739
     1.68005    0.705516  0.00416333
      1.7057    0.729558  0.00285677
     1.73135    0.754702  0.00273446
       1.757    0.783205  0.00430634
     1.78265    0.817494  0.00275328
      1.8083    0.851646  0.00290299
     1.83395    0.887495  0.00486426
      1.8596    0.931269  0.00546676
     1.88525     0.97055  0.00483921
      1.9109     1.01177  0.00466889
     1.93655     1.05488  0.00371368
      1.9622     1.09472  0.00416132
     1.98785     1.13238  0.00331186
      2.0135     1.15816  0.00303084
     2.03915     1.18814  0.00306211
      2.0648     1.20369  0.00427263
     2.09045     1.21751  0.00484372
      2.1161     1.21899  0.00396789
     2.14174     1.21005  0.00480127
     2.16739     1.19504  0.00373937
     2.19304     1.17296  0.00303706
     2.21869     1.15437  0.00436982
     2.24434     1.12683  0.00293236
     2.26999     1.09487  0.00239052
     2.29564     1.06627  0.00251855
     2.32129     1.03555  0.00258224
     2.34694       1.013  0.00194434
     2.37259     0.98441  0.00370959
     2.39824    0.964398  0.00303582
     2.42389    0.945739  0.00369511
     2.44954    0.928911  0.00291754
     2.47519    0.918589  0.00351979
     2.50084     0.90667  0.00363352
     2.52649    0.895669   0.0038227
     2.55214     0.88713  0.00274531
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
