#    r:        g(r):       error:
     2.21869     1.21871  0.00720191
     2.24434     1.19403  0.00864002
     2.26999     1.15902  0.00748459
     2.29564     1.10711    0.010497
     2.32129      1.0484  0.00850796
     2.34694     1.02788  0.00690941
     2.37259    0.997354   0.0077877
     2.39824    0.945944  0.00604159
     2.42389    0.926014  0.00496021
     2.44954    0.972853   0.0584669
     2.47519    0.892998  0.00748124
     2.50084    0.860564  0.00298568
     2.52649    0.837234  0.00639039
     2.55214    0.826602  0.00246524
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212           0           0
    0.961861  0.00576796 0.000570162
    0.987511   0.0986707  0.00456816
     1.01316    0.446519   0.0100934
     1.03881     1.21834   0.0180335
     1.06446     2.01823   0.0321197
     1.09011     2.69336   0.0418394
     1.11576     2.98518   0.0672707
     1.14141     2.94891   0.0468303
     1.16706     2.71286   0.0298384
     1.19271     2.37375   0.0181855
     1.21836     2.07943   0.0413107
     1.24401     1.95134    0.165313
     1.26966     1.56245   0.0385882
     1.29531     1.31769   0.0215686
     1.32096     1.16646   0.0124007
     1.34661     1.01631   0.0164212
     1.37226    0.892622   0.0076034
     1.39791     0.81853   0.0127742
     1.42355    0.752956  0.00919037
      1.4492    0.697583  0.00819077
     1.47485    0.657492  0.00780195
      1.5005    0.643212   0.0115207
     1.52615     0.62792   0.0117068
      1.5518    0.607352   0.0125286
     1.57745    0.592663  0.00551391
      1.6031    0.603752   0.0105627
     1.62875    0.599889   0.0065934
      1.6544    0.611404   0.0140532
     1.68005    0.620479  0.00636194
      1.7057    0.642682  0.00415037
     1.73135    0.738222   0.0479864
       1.757    0.730327  0.00820681
     1.78265    0.741496  0.00753933
      1.8083    0.802041   0.0120229
     1.83395    0.864536    0.011714
      1.8596    0.887463   0.0174741
     1.88525    0.922734   0.0198975
      1.9109    0.992888   0.0246025
     1.93655     1.04659   0.0250776
      1.9622     1.08525   0.0182549
     1.98785     1.15434   0.0149067
      2.0135     1.18151  0.00655171
     2.03915     1.22714    0.010234
      2.0648     1.24247  0.00991454
     2.09045     1.26718  0.00930193
      2.1161     1.36581   0.0891455
     2.14174     1.28433  0.00820099
     2.16739     1.25872   0.0191837
     2.19304      1.2444   0.0227269
     2.21869     1.23192   0.0131448
     2.24434     1.20049  0.00900854
     2.26999     1.16153  0.00639394
     2.29564     1.10941  0.00864721
     2.32129     1.05406  0.00848125
     2.34694     1.03246  0.00687938
     2.37259    0.997037   0.0062366
     2.39824    0.943796  0.00520126
     2.42389    0.922169  0.00525097
     2.44954    0.958233   0.0485671
     2.47519    0.884171   0.0099068
     2.50084     0.85425  0.00613135
     2.52649    0.837269   0.0051124
     2.55214    0.830682  0.00414775
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000158788 0.000144953
    0.961861  0.00673202  0.00100013
    0.987511   0.0985064  0.00380975
     1.01316     0.45103  0.00936493
     1.03881     1.20774   0.0178761
     1.06446     2.00351   0.0299506
     1.09011     2.69022    0.034984
     1.11576     3.01525   0.0624183
     1.14141     2.95718   0.0397492
     1.16706      2.7156   0.0249909
     1.19271     2.38777   0.0198321
     1.21836     2.08724   0.0351554
     1.24401     1.93002    0.139129
     1.26966     1.55764   0.0324552
     1.29531     1.31409   0.0182718
     1.32096     1.16486   0.0104368
     1.34661     1.01265   0.0140878
     1.37226    0.896496  0.00725621
     1.39791    0.821021   0.0108853
     1.42355    0.752931  0.00765867
      1.4492    0.696424  0.00690721
     1.47485    0.659638  0.00679012
      1.5005    0.637092   0.0111078
     1.52615    0.624288   0.0103038
      1.5518    0.605094   0.0106421
     1.57745    0.588353  0.00604915
      1.6031    0.595884   0.0113607
     1.62875    0.592193  0.00891845
      1.6544    0.610021   0.0117789
     1.68005    0.619705  0.00534844
      1.7057     0.63993   0.0042748
     1.73135    0.723859   0.0420832
       1.757    0.728639  0.00701058
     1.78265    0.746942  0.00801179
      1.8083    0.807011   0.0109985
     1.83395    0.872588   0.0122198
      1.8596    0.896394   0.0166885
     1.88525    0.940732   0.0233426
      1.9109     1.00818   0.0248007
     1.93655     1.05373   0.0218902
      1.9622     1.09637   0.0182863
     1.98785     1.16047   0.0136258
      2.0135     1.18349  0.00575328
     2.03915     1.22707  0.00852858
      2.0648      1.2385  0.00902246
     2.09045      1.2609  0.00963923
      2.1161     1.33963   0.0780378
     2.14174     1.27329   0.0121721
     2.16739     1.26063   0.0160811
     2.19304     1.24702   0.0190894
     2.21869      1.2306   0.0110201
     2.24434     1.19766   0.0079364
     2.26999     1.16162  0.00532902
     2.29564      1.1182   0.0107797
     2.32129     1.05802  0.00793718
     2.34694     1.03539  0.00632621
     2.37259    0.994556   0.0056692
     2.39824    0.942248  0.00455897
     2.42389    0.919983  0.00480917
     2.44954    0.948078   0.0415207
     2.47519    0.882141  0.00846115
     2.50084    0.852171   0.0054507
     2.52649    0.838228  0.00434921
     2.55214    0.832414  0.00380109
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
