#    r:        g(r):       error:
     2.34694     1.00687  0.00401999
     2.37259    0.979594  0.00396133
     2.39824    0.957442  0.00397659
     2.42389    0.941096  0.00483166
     2.44954    0.926816  0.00218363
     2.47519    0.911745   0.0026919
     2.50084    0.906414  0.00258276
     2.52649    0.893447  0.00182605
     2.55214    0.884056 0.000829922
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 9.72615e-06 8.69933e-06
    0.910562  0.00143977 0.000137006
    0.936212   0.0240694  0.00058248
    0.961861    0.168287  0.00274288
    0.987511     0.56124  0.00406481
     1.01316     1.19918  0.00729525
     1.03881     1.85922  0.00820395
     1.06446     2.33615   0.0058383
     1.09011      2.5487  0.00927644
     1.11576     2.54447  0.00601906
     1.14141     2.40549     0.00545
     1.16706     2.20343  0.00355586
     1.19271     1.98486    0.006001
     1.21836      1.7597  0.00585022
     1.24401     1.56067  0.00496154
     1.26966     1.39646  0.00275879
     1.29531     1.24848  0.00314504
     1.32096     1.12722  0.00348899
     1.34661     1.02601   0.0040292
     1.37226    0.941033  0.00350509
     1.39791    0.871666  0.00308946
     1.42355     0.81287  0.00259474
      1.4492    0.768876  0.00233599
     1.47485    0.734915  0.00163944
      1.5005    0.707103  0.00319939
     1.52615    0.685678    0.002843
      1.5518    0.675515  0.00213531
     1.57745    0.668361  0.00156269
      1.6031    0.670947  0.00307133
     1.62875    0.675333  0.00380499
      1.6544    0.684176  0.00390794
     1.68005    0.703961  0.00472116
      1.7057    0.725016   0.0039034
     1.73135    0.748396  0.00418649
       1.757    0.779515  0.00157283
     1.78265    0.813259  0.00195921
      1.8083    0.851928  0.00252606
     1.83395    0.893205  0.00152662
      1.8596    0.932642    0.003587
     1.88525    0.979989  0.00115925
      1.9109     1.01667  0.00288605
     1.93655     1.05916  0.00244346
      1.9622     1.09919  0.00136697
     1.98785     1.13588  0.00185365
      2.0135     1.16609  0.00201713
     2.03915     1.19055  0.00379451
      2.0648     1.20831  0.00320946
     2.09045     1.22155   0.0037915
      2.1161      1.2241  0.00369904
     2.14174     1.21738  0.00408708
     2.16739     1.19746  0.00365783
     2.19304     1.17709  0.00189503
     2.21869     1.15067 0.000756084
     2.24434     1.12562  0.00182812
     2.26999     1.09073  0.00111351
     2.29564     1.06347   0.0019324
     2.32129     1.03343  0.00255224
     2.34694     1.00646  0.00323695
     2.37259    0.979653   0.0031695
     2.39824    0.958406  0.00329601
     2.42389    0.941144  0.00386557
     2.44954    0.924539  0.00268355
     2.47519     0.91139   0.0021769
     2.50084    0.905104  0.00237554
     2.52649    0.892268  0.00180199
     2.55214    0.881842  0.00208899
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
