# step  T_sa   H_avg   H_err   mu   sigma   accept_flag   acc_rate_MC
130 0.00133766 -0.454481 0.00302309 0.789789 0.617387 0 0.528022
131 0.00127078 -0.454481 0.00302309 0.789789 0.617387 0 0.526467
132 0.00120724 -0.454481 0.00302309 0.789789 0.617387 0 0.5228
133 0.00114687 -0.454481 0.00302309 0.789789 0.617387 0 0.515756
134 0.00108953 -0.454481 0.00302309 0.789789 0.617387 0 0.511956
135 0.00103505 -0.454481 0.00302309 0.789789 0.617387 0 0.5478
136 0.000983302 -0.454481 0.00302309 0.789789 0.617387 0 0.540867
137 0.000934136 -0.454481 0.00302309 0.789789 0.617387 0 0.500622
138 0.00088743 -0.454481 0.00302309 0.789789 0.617387 0 0.5068
139 0.000843058 -0.454481 0.00302309 0.789789 0.617387 0 0.501311
140 0.000800905 -0.454481 0.00302309 0.789789 0.617387 0 0.531467
141 0.00076086 -0.454481 0.00302309 0.789789 0.617387 0 0.528956
142 0.000722817 -0.454481 0.00302309 0.789789 0.617387 0 0.534778
143 0.000686676 -0.454481 0.00302309 0.789789 0.617387 0 0.522044
144 0.000652342 -0.454481 0.00302309 0.789789 0.617387 0 0.517667
145 0.000619725 -0.454481 0.00302309 0.789789 0.617387 0 0.506111
146 0.000588739 -0.454481 0.00302309 0.789789 0.617387 0 0.543333
147 0.000559302 -0.454481 0.00302309 0.789789 0.617387 0 0.4794
148 0.000531337 -0.454481 0.00302309 0.789789 0.617387 0 0.513978
149 0.00050477 -0.454481 0.00302309 0.789789 0.617387 0 0.526378
150 0.000479532 -0.454481 0.00302309 0.789789 0.617387 0 0.547156
151 0.000455555 -0.454481 0.00302309 0.789789 0.617387 0 0.545156
152 0.000432777 -0.454481 0.00302309 0.789789 0.617387 0 0.520111
153 0.000411138 -0.454481 0.00302309 0.789789 0.617387 0 0.531822
154 0.000390581 -0.454481 0.00302309 0.789789 0.617387 0 0.510978
155 0.000371052 -0.454481 0.00302309 0.789789 0.617387 0 0.554822
156 0.0003525 -0.454481 0.00302309 0.789789 0.617387 0 0.543
157 0.000334875 -0.454481 0.00302309 0.789789 0.617387 0 0.556689
158 0.000318131 -0.454481 0.00302309 0.789789 0.617387 0 0.516489
159 0.000302224 -0.454481 0.00302309 0.789789 0.617387 0 0.521378
160 0.000287113 -0.454481 0.00302309 0.789789 0.617387 0 0.512956
161 0.000272758 -0.454481 0.00302309 0.789789 0.617387 0 0.478378
162 0.00025912 -0.454481 0.00302309 0.789789 0.617387 0 0.476689
163 0.000246164 -0.454481 0.00302309 0.789789 0.617387 0 0.498778
164 0.000233856 -0.454481 0.00302309 0.789789 0.617387 0 0.471756
165 0.000222163 -0.454481 0.00302309 0.789789 0.617387 0 0.522622
166 0.000211055 -0.454481 0.00302309 0.789789 0.617387 0 0.542956
167 0.000200502 -0.454481 0.00302309 0.789789 0.617387 0 0.539
168 0.000190477 -0.454481 0.00302309 0.789789 0.617387 0 0.497644
169 0.000180953 -0.454481 0.00302309 0.789789 0.617387 0 0.511778
170 0.000171905 -0.454481 0.00302309 0.789789 0.617387 0 0.495356
171 0.00016331 -0.454481 0.00302309 0.789789 0.617387 0 0.5108
172 0.000155145 -0.454481 0.00302309 0.789789 0.617387 0 0.493667
173 0.000147387 -0.454481 0.00302309 0.789789 0.617387 0 0.502422
174 0.000140018 -0.454481 0.00302309 0.789789 0.617387 0 0.465267
175 0.000133017 -0.454481 0.00302309 0.789789 0.617387 0 0.542911
176 0.000126366 -0.454481 0.00302309 0.789789 0.617387 0 0.485244
177 0.000120048 -0.454481 0.00302309 0.789789 0.617387 0 0.487356
178 0.000114045 -0.454481 0.00302309 0.789789 0.617387 0 0.497622
179 0.000108343 -0.454481 0.00302309 0.789789 0.617387 0 0.523067
180 0.000102926 -0.454481 0.00302309 0.789789 0.617387 0 0.505378
181 9.77798e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.520667
182 9.28908e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.541889
183 8.82462e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.4526
184 8.38339e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.523911
185 7.96422e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.486822
186 7.56601e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.530556
187 7.18771e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.4662
188 6.82833e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.495244
189 6.48691e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.528733
190 6.16256e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.480378
191 5.85444e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.5154
192 5.56171e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.526844
193 5.28363e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.514111
194 5.01945e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.537489
195 4.76847e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.519933
196 4.53005e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.500356
197 4.30355e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.549178
198 4.08837e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.512622
199 3.88395e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.544978
200 3.68975e-05 -0.454481 0.00302309 0.789789 0.617387 0 0.549067
