# mu sigma energy error acceptance
0.5 0.45 -0.007519213952 0.01736600167 0.56795
0.5 0.5 -0.07582981503 0.01549191862 0.55715
0.5 0.55 -0.148434637 0.01153901559 0.5627
0.5 0.6 -0.1785936881 0.01020385787 0.56785
0.5 0.65 -0.2049518037 0.009636298072 0.576
0.5 0.7 -0.2160408766 0.01064064507 0.57985
0.5 0.75 -0.2638149836 0.009477009534 0.5997
0.5 0.8 -0.2617614232 0.01097661197 0.6107
0.5 0.85 -0.2596158674 0.01511418287 0.61655
0.5 0.9 -0.2969163658 0.01111262066 0.6339
0.55 0.2 5.878960823 0.1482215436 0.2948
0.55 0.25 2.986410381 0.1108759641 0.3626
0.55 0.3 1.417008486 0.06974530555 0.4419
0.55 0.35 0.6300274752 0.03717286735 0.5155
0.55 0.4 0.1254855551 0.02678549377 0.56205
0.55 0.45 -0.06504218502 0.01752784179 0.5941
0.55 0.5 -0.1674870866 0.01468057421 0.6
0.55 0.55 -0.1982721252 0.01038031159 0.59505
0.55 0.6 -0.2412713339 0.009316628942 0.596
0.55 0.65 -0.269399931 0.008911787599 0.6049
0.55 0.7 -0.2776415559 0.01036119626 0.60595
0.55 0.75 -0.2897194682 0.007457199204 0.6103
0.55 0.8 -0.3025155839 0.008464213466 0.61945
0.55 0.85 -0.2769191718 0.0160830448 0.63
0.55 0.9 -0.2658655914 0.01914228921 0.64205
0.6 0.2 5.809164437 0.1559295022 0.2889
0.6 0.25 3.177160469 0.1011698939 0.3528
0.6 0.3 1.531256498 0.06947418828 0.42345
0.6 0.35 0.7674179564 0.04579467487 0.4963
0.6 0.4 0.1891059887 0.02837519313 0.5526
0.6 0.45 -0.07088454504 0.01809694729 0.60515
0.6 0.5 -0.212676081 0.01217112306 0.6271
0.6 0.55 -0.2833602362 0.009958018083 0.62865
0.6 0.6 -0.3085242528 0.00797185747 0.6294
0.6 0.65 -0.3214877686 0.008301604529 0.6305
0.6 0.7 -0.3394238665 0.008964065689 0.6267
0.6 0.75 -0.3132913743 0.008476553171 0.63275
0.6 0.8 -0.3047317612 0.01178515267 0.6421
0.6 0.85 -0.2765736109 0.01856255861 0.64565
0.6 0.9 -0.2598315098 0.02245017103 0.65385
0.65 0.2 5.328767698 0.1836566502 0.274
0.65 0.25 2.977886644 0.1004411435 0.343
0.65 0.3 1.759040391 0.06607863658 0.39725
0.65 0.35 0.7325292046 0.04378528544 0.4764
0.65 0.4 0.2450351687 0.03274156944 0.53835
0.65 0.45 -0.1035233913 0.02217946979 0.59655
0.65 0.5 -0.2606691898 0.01291577785 0.6329
0.65 0.55 -0.3283461865 0.007732376079 0.65545
0.65 0.6 -0.3774814117 0.006188979276 0.65895
0.65 0.65 -0.3867197351 0.006815239865 0.6533
0.65 0.7 -0.3658673032 0.008234035385 0.65005
0.65 0.75 -0.3609617827 0.01064217906 0.65725
0.65 0.8 -0.3310581444 0.01278620117 0.6594
0.65 0.85 -0.3091927383 0.02287970284 0.6589
0.65 0.9 -0.1971166482 0.03455192449 0.6647
0.7 0.2 4.994838972 0.2073233095 0.25135
0.7 0.25 2.905747112 0.1098571624 0.31555
0.7 0.3 1.710926136 0.06446046355 0.3683
0.7 0.35 0.899075042 0.04625470473 0.4322
0.7 0.4 0.2813065139 0.03309075561 0.50865
0.7 0.45 -0.08950965875 0.02015353297 0.5764
0.7 0.5 -0.290840552 0.01357588664 0.6286
0.7 0.55 -0.3861934906 0.008972287894 0.6565
0.7 0.6 -0.4066456301 0.006646295285 0.68215
0.7 0.65 -0.4206217567 0.005194207745 0.68665
0.7 0.7 -0.3872016245 0.00902346846 0.67575
0.7 0.75 -0.38503559 0.0140931426 0.68025
0.7 0.8 -0.3340878908 0.01358512847 0.67625
0.7 0.85 -0.2627427847 0.02537771994 0.6763
0.7 0.9 -0.2244044556 0.0240681268 0.68625
0.75 0.2 5.216396206 0.1678053668 0.22335
0.75 0.25 2.772112398 0.1078439099 0.2829
0.75 0.3 1.734353867 0.06945319366 0.33625
0.75 0.35 0.8179628039 0.046266209 0.40325
0.75 0.4 0.2547025011 0.03425885953 0.4683
0.75 0.45 -0.08344638132 0.02241729754 0.54455
0.75 0.5 -0.2874102732 0.01393921544 0.5987
0.75 0.55 -0.4015353107 0.0087114346 0.648
0.75 0.6 -0.4291252535 0.004628755713 0.688
0.75 0.65 -0.4272041582 0.006185039784 0.7045
0.75 0.7 -0.385412265 0.01512458417 0.6998
0.75 0.75 -0.3766144691 0.0131433011 0.6995
0.75 0.8 -0.3405912706 0.01449493945 0.69605
0.75 0.85 -0.2628687186 0.02237645918 0.6951
0.75 0.9 -0.1763606822 0.02974553998 0.70265
0.8 0.2 4.983198745 0.1857796452 0.19965
0.8 0.25 2.838567529 0.09871117704 0.25385
0.8 0.3 1.693832555 0.07135023065 0.30615
0.8 0.35 0.8209572439 0.04713817911 0.36915
0.8 0.4 0.2697897016 0.03636746122 0.4354
0.8 0.45 -0.0538490315 0.02436581024 0.51025
0.8 0.5 -0.2728437317 0.01461935053 0.576
0.8 0.55 -0.3988851646 0.007924622582 0.63095
0.8 0.6 -0.4448299872 0.005772957201 0.67755
0.8 0.65 -0.4313499143 0.007020273955 0.70945
0.8 0.7 -0.400885917 0.01197062665 0.7158
0.8 0.75 -0.3410043847 0.01901958848 0.72035
0.8 0.8 -0.2498166256 0.02367966638 0.71595
0.8 0.85 -0.1274744393 0.03591807127 0.71095
0.8 0.9 -0.1447116543 0.03776357039 0.71725
0.85 0.2 4.757370633 0.2084707354 0.18145
0.85 0.25 2.499259028 0.1070516481 0.23395
0.85 0.3 1.47546307 0.06638592585 0.2884
0.85 0.35 0.7880027982 0.04310441931 0.3485
0.85 0.4 0.3195552623 0.03251170681 0.4096
0.85 0.45 -0.07557585777 0.01910481014 0.48005
0.85 0.5 -0.2769149213 0.0125133068 0.5365
0.85 0.55 -0.3989618965 0.007743771538 0.6053
0.85 0.6 -0.4406420863 0.006697494625 0.6597
0.85 0.65 -0.4134736075 0.01101455576 0.6901
0.85 0.7 -0.3830916709 0.01101588077 0.72305
0.85 0.75 -0.3395169379 0.01777740761 0.7353
0.85 0.8 -0.2888353076 0.0220315866 0.73785
0.85 0.85 -0.1104406553 0.05024216289 0.73345
0.85 0.9 -0.08466819861 0.04669226116 0.7242
0.9 0.2 4.481199298 0.2142965185 0.1635
0.9 0.25 2.659117964 0.1167133212 0.2149
0.9 0.3 1.61872855 0.06334785865 0.26125
0.9 0.35 0.742610707 0.03902330766 0.3214
0.9 0.4 0.3776867869 0.0303149953 0.37305
0.9 0.45 -0.02983582813 0.02039629468 0.44075
0.9 0.5 -0.252318981 0.01227706271 0.50585
0.9 0.55 -0.3722665698 0.007622533249 0.576
0.9 0.6 -0.4126382319 0.007010135182 0.636
0.9 0.65 -0.3913798693 0.01216094164 0.67985
0.9 0.7 -0.3662718044 0.01520961215 0.716
