# mu sigma energy error acceptance
0.66 0.48 -0.2176193664 0.015006967 0.61705
0.66 0.5 -0.2607877684 0.01318719045 0.6377
0.66 0.52 -0.3124293232 0.01043338056 0.64115
0.66 0.54 -0.3506663491 0.00871193911 0.65225
0.66 0.56 -0.3555883553 0.008293959424 0.66055
0.66 0.58 -0.3524255585 0.006876331469 0.6697
0.66 0.6 -0.3624824384 0.00651100301 0.663
0.66 0.62 -0.3801754757 0.006011061343 0.6628
0.66 0.64 -0.3761605998 0.006160966114 0.6572
0.66 0.66 -0.3855165591 0.006500135021 0.66025
0.66 0.68 -0.3793399279 0.008516248634 0.65665
0.66 0.7 -0.3600155138 0.009009030031 0.6587
0.66 0.72 -0.3683228645 0.006975396129 0.6554
0.66 0.74 -0.3644700115 0.01319453973 0.6588
0.66 0.76 -0.3492925205 0.0103060457 0.6548
0.66 0.78 -0.3375460135 0.01437752653 0.65945
0.66 0.8 -0.3562714613 0.01111784672 0.65845
0.68 0.4 0.2925405748 0.03246957465 0.52155
0.68 0.42 0.1016390616 0.02626622086 0.5442
0.68 0.44 -0.08912621479 0.02222184638 0.5798
0.68 0.46 -0.1507982005 0.01876500467 0.5939
0.68 0.48 -0.2356844264 0.01758635142 0.6215
0.68 0.5 -0.2869878972 0.01364931664 0.62705
0.68 0.52 -0.3213719145 0.01087453965 0.64405
0.68 0.54 -0.3467236061 0.009875233157 0.65555
0.68 0.56 -0.3826079284 0.008393452567 0.67155
0.68 0.58 -0.3805060711 0.007510619742 0.6628
0.68 0.6 -0.3862312082 0.005646792277 0.6783
0.68 0.62 -0.3949431983 0.005471153067 0.67775
0.68 0.64 -0.3870216426 0.005937335277 0.66985
0.68 0.66 -0.3941348282 0.006164666086 0.67055
0.68 0.68 -0.3925574645 0.006104015895 0.6699
0.68 0.7 -0.3874420285 0.007943573747 0.669
0.68 0.72 -0.3824791042 0.009677471742 0.66635
0.68 0.74 -0.3648965101 0.007818463358 0.6734
0.68 0.76 -0.3172936476 0.01678985793 0.66245
0.68 0.78 -0.3440672781 0.01462771746 0.6688
0.68 0.8 -0.3115749324 0.01992913821 0.6622
0.7 0.4 0.1896638482 0.03305348246 0.51165
0.7 0.42 0.1091204508 0.0272976494 0.53305
0.7 0.44 -0.05494545361 0.02181781736 0.55595
0.7 0.46 -0.1436443699 0.01732421976 0.5894
0.7 0.48 -0.2362089068 0.01569848531 0.6108
0.7 0.5 -0.2777167289 0.01401319185 0.629
0.7 0.52 -0.314318964 0.01164855837 0.64225
0.7 0.54 -0.3681361366 0.009050524238 0.6573
0.7 0.56 -0.3787444843 0.007626436059 0.6655
0.7 0.58 -0.396991702 0.006644595512 0.6685
0.7 0.6 -0.4127894844 0.005988813032 0.6796
0.7 0.62 -0.4134763197 0.006062267808 0.68225
0.7 0.64 -0.4133996062 0.004286882669 0.6863
0.7 0.66 -0.4020595839 0.01002770017 0.68265
0.7 0.68 -0.389737006 0.008721461483 0.68085
0.7 0.7 -0.3878540482 0.008005487712 0.6837
0.7 0.72 -0.3734127982 0.0089028267 0.6785
0.7 0.74 -0.3752012499 0.009941092519 0.6783
0.7 0.76 -0.3473097941 0.01430783087 0.67455
0.7 0.78 -0.3411010605 0.01538317047 0.679
0.7 0.8 -0.3261919306 0.0171196468 0.67235
0.72 0.4 0.2677882469 0.03063358621 0.5001
0.72 0.42 0.1189275731 0.02625365729 0.52
0.72 0.44 -0.02016348105 0.02334851149 0.54295
0.72 0.46 -0.1753392875 0.01963265793 0.5733
0.72 0.48 -0.2494062765 0.01598812904 0.5967
0.72 0.5 -0.3161298728 0.01443846424 0.6242
0.72 0.52 -0.3443109425 0.01159350193 0.63735
0.72 0.54 -0.3787829874 0.009721181406 0.6516
0.72 0.56 -0.4032074993 0.008892545518 0.66715
0.72 0.58 -0.4120884966 0.006525233378 0.6776
0.72 0.6 -0.4269703446 0.005275293263 0.6862
0.72 0.62 -0.4189351397 0.005001179833 0.6923
0.72 0.64 -0.4205587488 0.005921995111 0.68915
0.72 0.66 -0.4092499507 0.006209311309 0.69115
0.72 0.68 -0.3971182985 0.01052415319 0.69285
0.72 0.7 -0.4083498366 0.00648217902 0.6926
0.72 0.72 -0.3938848425 0.007841092099 0.68725
0.72 0.74 -0.3657973789 0.010900198 0.6855
0.72 0.76 -0.3513188387 0.0162407076 0.68465
0.72 0.78 -0.3091368539 0.02974829512 0.68515
0.72 0.8 -0.3398163493 0.01583305383 0.6884
0.74 0.4 0.2716532084 0.03320532437 0.48035
0.74 0.42 0.09445376066 0.02515996007 0.52005
0.74 0.44 -0.03757879506 0.02456735888 0.5358
0.74 0.46 -0.1350763959 0.01951136628 0.56925
0.74 0.48 -0.2469471487 0.01560047094 0.58475
0.74 0.5 -0.2947702118 0.01440743184 0.6159
0.74 0.52 -0.3323501694 0.01147406002 0.63245
0.74 0.54 -0.363888627 0.008882492883 0.64455
0.74 0.56 -0.3974919865 0.007549210822 0.66575
0.74 0.58 -0.4186065606 0.006046594037 0.67685
0.74 0.6 -0.4337569081 0.006341699797 0.69005
0.74 0.62 -0.4240723253 0.006563616579 0.6949
0.74 0.64 -0.4268281499 0.005146280686 0.702
0.74 0.66 -0.4155098087 0.007731432354 0.696
0.74 0.68 -0.4172734321 0.006253452446 0.7026
0.74 0.7 -0.4004017593 0.01158407219 0.69375
0.74 0.72 -0.3964208283 0.009584509121 0.69915
0.74 0.74 -0.3641094684 0.01322686143 0.6926
0.74 0.76 -0.3315719568 0.01939533231 0.69515
0.74 0.78 -0.332359453 0.0178575288 0.6877
0.74 0.8 -0.3257124853 0.01915071901 0.69355
0.76 0.4 0.2627909914 0.03387278898 0.4645
0.76 0.42 0.1543893541 0.02616702163 0.4978
0.76 0.44 -0.0460152808 0.02446601479 0.5212
0.76 0.46 -0.1269204085 0.01865457339 0.5463
0.76 0.48 -0.2567171083 0.01729518216 0.5741
0.76 0.5 -0.3240263973 0.01409514467 0.6054
