#    r:        g(r):       error:
     2.14174     1.27209  0.00838237
     2.16739     1.27007   0.0125342
     2.19304     1.26778    0.010609
     2.21869     1.24636  0.00514924
     2.24434     1.23072   0.0064363
     2.26999     1.16605  0.00901197
     2.29564     1.10806   0.0111822
     2.32129     1.06087   0.0177994
     2.34694     1.02203   0.0141919
     2.37259     1.00251   0.0134262
     2.39824    0.957287    0.014816
     2.42389    0.943858   0.0162132
     2.44954    0.914033   0.0104155
     2.47519    0.894706   0.0121413
     2.50084    0.859804    0.010996
     2.52649     0.83693  0.00610558
     2.55214    0.815767  0.00271283
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 0.000115482 0.000105421
    0.961861  0.00736016 0.000970273
    0.987511   0.0894831  0.00426312
     1.01316    0.425716  0.00547031
     1.03881     1.17936   0.0180934
     1.06446     2.04431   0.0174445
     1.09011     2.75495   0.0208554
     1.11576     3.01262   0.0186263
     1.14141     2.98853    0.034186
     1.16706     2.72007   0.0193171
     1.19271     2.39695   0.0268257
     1.21836     2.11822   0.0220833
     1.24401     1.79422   0.0212219
     1.26966     1.51735   0.0242698
     1.29531     1.32892   0.0085946
     1.32096     1.19325   0.0229408
     1.34661     1.01418   0.0159292
     1.37226    0.904433    0.010552
     1.39791     0.81252   0.0165925
     1.42355    0.754643   0.0186729
      1.4492    0.700142   0.0108476
     1.47485    0.658834   0.0128186
      1.5005     0.63324   0.0087832
     1.52615    0.620213   0.0119764
      1.5518    0.601473   0.0108188
     1.57745    0.588683  0.00922821
      1.6031    0.590975  0.00943203
     1.62875    0.598679   0.0126289
      1.6544    0.607941   0.0138706
     1.68005    0.636579    0.010735
      1.7057     0.65456   0.0121167
     1.73135    0.669263   0.0158669
       1.757    0.708888  0.00828252
     1.78265    0.748493   0.0111238
      1.8083    0.793583  0.00807972
     1.83395    0.856462   0.0108314
      1.8596    0.912997     0.01192
     1.88525    0.979319   0.0104901
      1.9109     1.02861   0.0175588
     1.93655     1.06121   0.0152341
      1.9622     1.11567    0.013107
     1.98785     1.15859  0.00497372
      2.0135     1.20035   0.0178829
     2.03915     1.21012     0.01274
      2.0648     1.23838   0.0105215
     2.09045     1.26783  0.00988151
      2.1161     1.26912  0.00694866
     2.14174     1.27056  0.00712348
     2.16739     1.28084    0.014342
     2.19304     1.26913  0.00892575
     2.21869     1.24483   0.0045139
     2.24434     1.22998  0.00540564
     2.26999     1.16701  0.00756004
     2.29564     1.11285   0.0102928
     2.32129     1.06819   0.0162662
     2.34694     1.02246   0.0118331
     2.37259    0.999479   0.0115247
     2.39824    0.952961   0.0129629
     2.42389     0.93376   0.0163559
     2.44954    0.910737  0.00918624
     2.47519    0.896266   0.0102175
     2.50084    0.858172  0.00928358
     2.52649    0.835955  0.00516517
     2.55214    0.821967  0.00609394
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 9.89849e-05 9.16422e-05
    0.961861  0.00683541 0.000963166
    0.987511   0.0914254  0.00407262
     1.01316    0.433869  0.00888603
     1.03881      1.1671   0.0192192
     1.06446     2.03361    0.017937
     1.09011     2.74339   0.0208352
     1.11576     2.99133   0.0253628
     1.14141     2.99793    0.030567
     1.16706     2.73028   0.0190654
     1.19271     2.42482   0.0345676
     1.21836     2.11428   0.0192757
     1.24401     1.79158   0.0183532
     1.26966     1.53095   0.0243143
     1.29531     1.32849  0.00737722
     1.32096      1.1903   0.0198521
     1.34661     1.00658   0.0153593
     1.37226    0.895141   0.0124822
     1.39791    0.800564    0.018022
     1.42355    0.749989   0.0165752
      1.4492     0.70122  0.00935136
     1.47485    0.661226   0.0112083
      1.5005    0.632268  0.00758209
     1.52615    0.622356   0.0104555
      1.5518    0.600811  0.00929349
     1.57745    0.592775  0.00877008
      1.6031     0.59086  0.00808531
     1.62875    0.601493    0.011134
      1.6544    0.607743   0.0118905
     1.68005    0.628653   0.0117691
      1.7057    0.653523     0.01043
     1.73135    0.667315   0.0137193
       1.757    0.711157  0.00740361
     1.78265    0.754054   0.0108359
      1.8083     0.80352   0.0115148
     1.83395    0.866841   0.0133613
      1.8596    0.921694   0.0130085
     1.88525    0.988081   0.0121096
      1.9109     1.03134   0.0152603
     1.93655     1.06535   0.0136073
      1.9622     1.11467   0.0112724
     1.98785     1.15359  0.00629021
      2.0135     1.19583     0.01589
     2.03915     1.20112   0.0137399
      2.0648     1.22909    0.012465
     2.09045      1.2595   0.0114595
      2.1161     1.26519  0.00697756
     2.14174     1.27316  0.00656504
     2.16739     1.28597   0.0131777
     2.19304     1.26378  0.00911441
     2.21869     1.24165  0.00485836
     2.24434      1.2234  0.00765296
     2.26999     1.16748  0.00649487
     2.29564      1.1192   0.0106022
     2.32129     1.06896   0.0139609
     2.34694      1.0233   0.0101723
     2.37259    0.997249   0.0100917
     2.39824    0.946632   0.0125613
     2.42389    0.930418   0.0143567
     2.44954    0.907438  0.00844551
     2.47519    0.898042  0.00891087
     2.50084     0.86466  0.00996959
     2.52649    0.839903  0.00574111
     2.55214    0.824493  0.00572325
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562           0           0
    0.936212 8.66118e-05 8.10179e-05
    0.961861  0.00653402 0.000888675
    0.987511   0.0919896   0.0036024
     1.01316    0.438345  0.00883105
     1.03881     1.17095   0.0171984
     1.06446      2.0429   0.0179414
     1.09011     2.73982   0.0185339
     1.11576     2.99252     0.02222
     1.14141     2.99644   0.0267823
     1.16706     2.73486   0.0172229
     1.19271     2.42397   0.0302572
     1.21836     2.09896   0.0221353
     1.24401      1.7906   0.0160855
     1.26966     1.52616    0.021741
     1.29531      1.3269  0.00662475
     1.32096     1.17792   0.0208779
     1.34661    0.998751   0.0153072
     1.37226    0.891217   0.0115223
     1.39791    0.808849   0.0175708
     1.42355    0.755617   0.0154292
      1.4492    0.708009   0.0103576
     1.47485    0.662627   0.0098944
      1.5005    0.627845  0.00781863
     1.52615    0.626212  0.00983393
      1.5518    0.600253  0.00814856
     1.57745    0.599109  0.00969498
      1.6031    0.594081  0.00768971
     1.62875    0.607879   0.0114279
      1.6544    0.604464   0.0108468
     1.68005    0.626385   0.0105141
      1.7057    0.650694  0.00950224
     1.73135    0.668069   0.0120251
       1.757    0.711244  0.00647868
     1.78265    0.759484   0.0107562
      1.8083    0.810735    0.012127
     1.83395      0.8676   0.0117126
      1.8596    0.917735   0.0119696
     1.88525    0.981454   0.0122758
      1.9109     1.03307   0.0134514
     1.93655     1.06391   0.0119821
      1.9622     1.11372  0.00990357
     1.98785     1.16026  0.00831703
      2.0135     1.19722   0.0139648
     2.03915     1.20036   0.0120434
      2.0648     1.22853   0.0109191
     2.09045     1.25881   0.0100473
      2.1161     1.26469  0.00612341
     2.14174     1.27103  0.00608063
     2.16739     1.28483   0.0115797
     2.19304     1.26127  0.00831381
     2.21869     1.23511  0.00745171
     2.24434     1.22363  0.00669964
     2.26999     1.16433  0.00639922
     2.29564     1.11344   0.0107294
     2.32129     1.06518   0.0127173
     2.34694     1.02075  0.00921408
     2.37259    0.998413  0.00889708
     2.39824    0.947349   0.0110116
     2.42389    0.934208   0.0130528
     2.44954     0.91063  0.00797003
     2.47519    0.898221   0.0077988
